  JENDL-4.0 NFY Fm255                                                0         0
 0.000000+0 0.000000+0 3.610200+4 0.000000+0 0.000000+0 0.000000+09936 8454  184
 3.708100+4 0.000000+0 0.000000+0 0.000000+0 3.708100+4 1.000000+09936 8454  185
 0.000000+0 0.000000+0 3.708200+4 0.000000+0 0.000000+0 0.000000+09936 8454  186
 3.708200+4 1.000000+0 0.000000+0 0.000000+0 3.708300+4 0.000000+09936 8454  187
 8.15600-12 5.21984-12 3.708400+4 0.000000+0 5.02033-11 3.21302-119936 8454  188
 3.708400+4 1.000000+0 2.65537-10 2.12429-10 3.708500+4 0.000000+09936 8454  189
 1.418860-8 9.080740-9 3.708600+4 0.000000+0 8.997180-8 5.758210-89936 8454  190
 3.708600+4 1.000000+0 1.620500-7 1.037120-7 3.708700+4 0.000000+09936 8454  191
 3.075870-6 1.968550-6 3.708800+4 0.000000+0 2.268200-5 1.451650-59936 8454  192
 3.708900+4 0.000000+0 1.087070-4 6.957240-5 3.709000+4 0.000000+09936 8454  193
 6.377740-5 4.081750-5 3.709000+4 1.000000+0 2.683960-4 1.717730-49936 8454  194
 3.709100+4 0.000000+0 6.677490-4 4.273590-4 3.709200+4 0.000000+09936 8454  195
 8.574020-4 5.487370-4 3.709300+4 0.000000+0 7.994270-4 5.116330-49936 8454  196
 3.709400+4 0.000000+0 4.701310-4 3.008830-4 3.709500+4 0.000000+09936 8454  197
 1.858810-4 1.189640-4 3.709600+4 0.000000+0 4.559220-5 2.917910-59936 8454  198
 3.709700+4 0.000000+0 9.148210-6 5.854850-6 3.709800+4 0.000000+09936 8454  199
 6.876040-7 4.400670-7 3.709900+4 0.000000+0 2.258360-8 1.445350-89936 8454  200
 3.710000+4 0.000000+0 1.071590-9 6.85818-10 3.710100+4 0.000000+09936 8454  201
 6.56549-12 4.20192-12 3.710200+4 0.000000+0 1.95092-13 1.24859-139936 8454  202
 3.710300+4 0.000000+0 3.28353-14 2.10145-14 3.710400+4 0.000000+09936 8454  203
 0.000000+0 0.000000+0 3.710500+4 0.000000+0 0.000000+0 0.000000+09936 8454  204
 3.808300+4 0.000000+0 0.000000+0 0.000000+0 3.808400+4 0.000000+09936 8454  205
 1.16089-14 7.42970-15 3.808500+4 0.000000+0 1.21657-12 7.78607-139936 8454  206
 3.808500+4 1.000000+0 2.81670-13 1.80269-13 3.808600+4 0.000000+09936 8454  207
 9.48556-11 6.07076-11 3.808700+4 0.000000+0 3.292000-9 2.106870-99936 8454  208
 3.808700+4 1.000000+0 7.62187-10 4.87800-10 3.808800+4 0.000000+09936 8454  209
 1.021980-7 6.540670-8 3.808900+4 0.000000+0 1.666920-6 1.066830-69936 8454  210
 3.809000+4 0.000000+0 1.598450-5 1.023010-5 3.809100+4 0.000000+09936 8454  211
 9.825890-5 6.288570-5 3.809200+4 0.000000+0 3.558580-4 2.277480-49936 8454  212
 3.809300+4 0.000000+0 9.312320-4 5.959890-4 3.809400+4 0.000000+09936 8454  213
